"Region of Incident","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route"
"Mediterranean",2017,"Feb",1,NA,NA,NA,1,1,"Dehydration","Central Mediterranean"
"US-Mexico Border",2017,"Feb",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Feb",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Feb",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2017,"Feb",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2017,"Feb",1,NA,45,1,NA,NA,"Drowning","Eastern Mediterranean"
"Europe",2017,"Feb",1,NA,NA,NA,1,NA,"Train Accident",""
"Central America",2017,"Feb",1,NA,NA,NA,1,NA,"Train Accident","Central America to US"
"South Asia",2017,"Feb",5,NA,NA,NA,5,NA,"Starvation, Dehydration",""
"Mediterranean",2017,"Feb",NA,3,113,NA,NA,3,"Drowning","Central Mediterranean"
"Central America",2017,"Feb",1,NA,NA,NA,1,NA,"Fall from train","Central America to US"
"Horn of Africa",2017,"Feb",7,NA,100,NA,7,NA,"Drowning",""
"Horn of Africa",2017,"Feb",1,NA,100,1,NA,NA,"Vehicle Accident",""
"Europe",2017,"Feb",1,NA,NA,NA,1,NA,"Drowning",""
"North Africa",2017,"Feb",3,NA,NA,NA,NA,NA,"Starvation, Excessive Physical Abuse",""
"South Asia",2017,"Feb",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"South Asia",2017,"Feb",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"US-Mexico Border",2017,"Feb",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2017,"Feb",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Central America",2017,"Feb",1,NA,NA,NA,1,NA,"Train Accident","Central America to US"
"US-Mexico Border",2017,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2017,"Jan",5,NA,NA,NA,NA,NA,"Unknown",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2017,"Jan",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2017,"Jan",2,NA,NA,NA,NA,NA,"Shot",""
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Shot",""
"North Africa",2017,"Jan",5,NA,NA,NA,NA,NA,"Shot",""
"Mediterranean",2017,"Jan",NA,3,11,NA,NA,NA,"Drowning","Western Mediterranean"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2017,"Jan",1,1,NA,1,NA,NA,"Unknown","Central Mediterranean"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2017,"Jan",2,NA,151,NA,2,2,"Hypothermia","Central Mediterranean"
"Horn of Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Dehydration, Harsh conditions",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2017,"Jan",1,2,299,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning",""
"Southeast Asia",2017,"Jan",8,NA,NA,1,13,NA,"Drowning",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,NA,NA,"Drowning","Central America to US"
"Caribbean",2017,"Jan",2,NA,NA,NA,2,NA,"Drowning",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Southeast Asia",2017,"Jan",2,NA,NA,NA,NA,NA,"Drowning",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Southeast Asia",2017,"Jan",4,NA,NA,NA,2,NA,"Drowning",""
"Mediterranean",2017,"Jan",10,NA,NA,1,8,1,"Drowning","Central Mediterranean"
"Caribbean",2017,"Jan",17,51,1,8,4,NA,"Drowning",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Harsh conditions",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Southeast Asia",2017,"Jan",10,7,13,6,4,NA,"Drowning",""
"North Africa",2017,"Jan",2,NA,NA,NA,NA,NA,"Harsh conditions",""
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Harsh conditions",""
"Europe",2017,"Jan",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2017,"Jan",5,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2017,"Jan",1,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2017,"Jan",NA,1,NA,NA,1,NA,"Presumed drowning","Central America to US"
"Horn of Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2017,"Jan",7,NA,NA,NA,NA,NA,"Starvation, Harsh conditions, Excessive Physical Abuse",""
"Sub-Saharan Africa",2017,"Jan",9,NA,NA,NA,NA,NA,"Unknown",""
"Sub-Saharan Africa",2017,"Jan",3,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Shot, Stabbed",""
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Excessive Physical Abuse",""
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2017,"Jan",2,NA,NA,NA,NA,NA,"Harsh conditions, Vehicle Accident",""
"Horn of Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Shot, Stabbed",""
"North Africa",2017,"Jan",5,NA,NA,NA,NA,NA,"Dehydration, Excessive Physical Abuse",""
"North Africa",2017,"Jan",2,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2017,"Jan",3,NA,NA,NA,NA,NA,"Dehydration, Vehicle Accident, Excessive Physical Abuse",""
"Horn of Africa",2017,"Jan",2,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2017,"Jan",10,NA,NA,NA,NA,NA,"Starvation, Dehydration, Vehicle Accident",""
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2017,"Jan",32,NA,NA,NA,NA,NA,"Starvation, Dehydration, Harsh conditions",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"Horn of Africa",2017,"Jan",3,NA,NA,NA,NA,NA,"Shot, Stabbed, Excessive Physical Abuse",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Horn of Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Unknown",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"North Africa",2017,"Jan",4,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2017,"Jan",6,NA,NA,NA,NA,NA,"Starvation, Sexual abuse",""
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2017,"Jan",1,NA,NA,1,NA,NA,"Rape, Murdered","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,2,NA,NA,NA,"Drowning","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"South Asia",2017,"Jan",1,NA,NA,NA,1,NA,"Shot",""
"South Asia",2017,"Jan",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2017,"Jan",3,NA,NA,NA,NA,NA,"Harsh conditions, Vehicle Accident",""
"North Africa",2017,"Jan",3,NA,NA,NA,NA,NA,"Starvation, Sexual abuse",""
"Mediterranean",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown","Eastern Mediterranean"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"South Asia",2017,"Jan",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"South Asia",2017,"Jan",1,NA,NA,NA,1,NA,"Shot",""
"South Asia",2017,"Jan",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2017,"Jan",4,172,4,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2017,"Jan",1,NA,2,1,NA,NA,"Unknown","Western Mediterranean"
"Mediterranean",2017,"Jan",NA,3,NA,1,2,NA,"Drowning","Western Mediterranean"
"Mediterranean",2017,"Jan",8,7,4,1,6,1,"Drowning","Western Mediterranean"
"Mediterranean",2017,"Jan",1,NA,7,1,NA,NA,"Hypothermia","Western Mediterranean"
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2017,"Jan",2,NA,NA,NA,NA,NA,"Shot, Stabbed",""
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Vehicle Accident",""
"Europe",2017,"Jan",1,NA,NA,NA,1,NA,"Hypothermia",""
"Mediterranean",2017,"Jan",3,NA,NA,NA,NA,NA,"Hypothermia","Central Mediterranean"
"US-Mexico Border",2017,"Jan",1,NA,2,NA,1,NA,"Shot","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Starvation, Sexual abuse",""
"North Africa",2017,"Jan",3,NA,NA,NA,NA,NA,"Starvation, Vehicle Accident",""
"North Africa",2017,"Jan",4,NA,NA,NA,NA,NA,"Starvation, Dehydration, Suffocation",""
"North Africa",2017,"Jan",2,NA,NA,NA,NA,NA,"Vehicle Accident",""
"Mediterranean",2017,"Jan",2,NA,193,NA,NA,NA,"Suffocation","Central Mediterranean"
"Mediterranean",2017,"Jan",14,NA,NA,NA,NA,NA,"Hypothermia","Central Mediterranean"
"Central America",2017,"Jan",1,NA,5,NA,1,NA,"Fall from train","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2017,"Jan",1,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Starvation, Sexual abuse",""
"North Africa",2017,"Jan",1,NA,NA,NA,NA,NA,"Starvation, Sexual abuse",""
"US-Mexico Border",2017,"Jan",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2017,"Jan",3,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2017,"Jan",2,NA,NA,NA,NA,NA,"Excessive Physical Abuse, Sexual abuse",""
"Europe",2017,"Jan",2,NA,NA,NA,NA,NA,"Hypothermia",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2017,"Jan",3,NA,NA,NA,NA,NA,"Starvation, Dehydration, Excessive Physical Abuse",""
"Mediterranean",2017,"Jan",5,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2017,"Jan",3,NA,45,1,NA,1,"Drowning","Western Mediterranean"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Middle East",2017,"Jan",2,NA,NA,NA,1,1,"Hypothermia",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Europe",2017,"Jan",1,NA,NA,NA,1,NA,"Hypothermia",""
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2017,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Europe",2017,"Jan",1,NA,NA,1,NA,NA,"Hypothermia",""
"Mediterranean",2017,"Jan",1,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2017,"Jan",2,NA,NA,NA,NA,NA,"Fall from border fence","Western Mediterranean"
"Caribbean",2017,"Jan",1,NA,NA,1,NA,NA,"Unknown","From Haiti to Dajabon, Dominican Republic"
"US-Mexico Border",2016,"Dec",18,NA,NA,NA,NA,NA,"Mixed","Central America to US"
"Mediterranean",2016,"Dec",2,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"Dec",18,NA,NA,NA,NA,NA,"Mixed","Central America to US"
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Shot",""
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Dehydration",""
"North Africa",2016,"Dec",4,NA,NA,NA,NA,NA,"Shot",""
"North Africa",2016,"Dec",3,NA,NA,NA,NA,NA,"Unknown",""
"Southeast Asia",2016,"Dec",1,NA,NA,NA,1,NA,"Shot",""
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Europe",2016,"Dec",3,NA,12,NA,NA,1,"Vehicle Accident","Western Balkans"
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Central America",2016,"Dec",12,NA,NA,NA,NA,NA,"Mixed","Central America to US"
"Europe",2016,"Dec",1,NA,NA,1,NA,NA,"Hypothermia","Western Balkans"
"Horn of Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"Dec",1,NA,42,1,NA,1,"Vehicle Accident","Central America to US"
"Middle East",2016,"Dec",3,NA,3,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Hypothermia","Central America to US"
"Horn of Africa",2016,"Dec",6,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Europe",2016,"Dec",1,NA,NA,NA,1,NA,"Fall from truck",""
"Mediterranean",2016,"Dec",1,NA,8,NA,NA,1,"Unknown","Central Mediterranean"
"Europe",2016,"Dec",1,NA,NA,NA,1,NA,"Hit by train","Italy to France"
"Mediterranean",2016,"Dec",5,56,62,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Dec",1,57,63,NA,NA,NA,"Unknown","Central Mediterranean"
"Mediterranean",2016,"Dec",7,40,80,NA,NA,NA,"Unknown","Central Mediterranean"
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2016,"Dec",7,NA,300,NA,NA,NA,"Unknown","Central Mediterranean"
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2016,"Dec",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Drowning",""
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2016,"Dec",12,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",6,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Dec",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2016,"Dec",5,NA,8,1,NA,4,"Drowning","Eastern Mediterranean"
"Southeast Asia",2016,"Dec",1,NA,NA,NA,1,NA,"Shot",""
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",4,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2016,"Dec",4,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Unknown (decomposed remains)","Central America to US"
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",20,NA,NA,NA,NA,NA,"Starvation",""
"Horn of Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Caribbean",2016,"Dec",1,NA,NA,NA,NA,NA,"Unknown",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Dec",1,NA,NA,NA,NA,1,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Southeast Asia",2016,"Dec",18,NA,NA,NA,NA,NA,"Unknown",""
"Horn of Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"Dec",2,NA,8,NA,2,NA,"Vehicle Accident","Central America to US"
"Mediterranean",2016,"Dec",NA,20,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"Horn of Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2016,"Dec",2,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Mediterranean",2016,"Dec",2,1,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Mediterranean",2016,"Dec",NA,87,27,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Mediterranean",2016,"Dec",6,NA,165,NA,NA,NA,"Unknown","Central Mediterranean"
"Mediterranean",2016,"Dec",15,NA,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"Horn of Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"Dec",1,NA,NA,NA,NA,NA,"Drowning","Central America to US"
"Mediterranean",2016,"Dec",8,NA,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Dec",1,NA,NA,1,NA,NA,"Unknown","Central Mediterranean"
"Mediterranean",2016,"Dec",2,NA,NA,NA,2,NA,"Unknown","Central Mediterranean"
"Central America",2016,"Dec",1,NA,3,NA,NA,1,"Asphyxiation","Central America to US"
"Mediterranean",2016,"Dec",10,NA,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Dec",6,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Dec",2,NA,NA,2,NA,NA,"Hypothermia","Central Mediterranean"
"Central America",2016,"Dec",1,NA,NA,NA,1,NA,"Hit by train","Central America to US"
"Mediterranean",2016,"Dec",7,NA,38,NA,NA,NA,"Drowning","Western Mediterranean"
"Horn of Africa",2016,"Dec",NA,20,42,NA,NA,NA,"Sickness and lack of access to medicines","Horn Africa to Yemen"
"US-Mexico Border",2016,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2016,"Dec",5,NA,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"Southeast Asia",2016,"Dec",26,4,6,11,NA,5,"Drowning",""
"Mediterranean",2016,"Dec",11,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"Middle East",2016,"Dec",4,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Middle East",2016,"Dec",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Dec",2,NA,NA,2,NA,NA,"Hypothermia","Central Mediterranean"
"Mediterranean",2016,"Dec",14,6,120,NA,11,3,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Dec",4,NA,140,NA,NA,NA,"Drowning","Central Mediterranean"
"Horn of Africa",2016,"Dec",4,NA,NA,1,3,NA,"Sickness and lack of access to medicines",""
"Europe",2016,"Dec",2,NA,1,1,1,NA,"Fall from train",""
"North Africa",2016,"Dec",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Southeast Asia",2016,"Nov",1,NA,1,1,NA,NA,"Shot",""
"Central America",2016,"Nov",1,NA,NA,NA,1,NA,"Cardiac arrest","Central America to US"
"Sub-Saharan Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Plane stowaway",""
"Southeast Asia",2016,"Nov",1,NA,NA,NA,1,NA,"Shot",""
"Central America",2016,"Nov",1,NA,NA,NA,1,NA,"Cardiac arrest","Central America to US"
"North Africa",2016,"Nov",15,NA,NA,NA,NA,NA,"Vehicle Accident",""
"Central America",2016,"Nov",1,NA,NA,NA,1,NA,"Fall from train","Central America to US"
"US-Mexico Border",2016,"Nov",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Nov",1,NA,NA,NA,1,NA,"Hypothermia","Central America to US"
"Horn of Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Nov",8,NA,1,NA,NA,NA,"Dehydration","Central Mediterranean"
"Mediterranean",2016,"Nov",1,NA,NA,NA,1,NA,"Drowning","Western Mediterranean"
"Central America",2016,"Nov",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Europe",2016,"Nov",1,NA,NA,NA,1,NA,"Hypothermia","Western Balkans"
"Mediterranean",2016,"Nov",2,26,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"Europe",2016,"Nov",1,NA,NA,NA,1,NA,"Suicide","Western Balkans"
"US-Mexico Border",2016,"Nov",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Nov",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2016,"Nov",7,NA,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
